Full Name,Date of Birth,Country,State,Religion,Caste,Family Income,School Name,10th Percentage,Higher Education,12th Percentage,Diploma Percentage,Graduation Percentage,Course Type,University,Institution State,Tuition Fee,Exam Fee,Living Type,Hostel Fee,Travel Fee,Father's Name,Mother's Name,Bank Name,Branch Name,Credit Score
Ananya Gade,2003-08-23,India,Telangana,Muslim,SC,706144,Delhi Public School,72,12th,81.0,,,Vocational Training,Osmania University,Telangana,219419,4079,Day Scholar,0,8065,Agastya,Lakshmi,State Bank of India,Hyderabad,824
Sanya Mody,2002-06-14,India,Telangana,Hindu,OBC,1005685,Oakridge International School,85,Graduation,,,59.0,Medical,ICFAI Business School,Telangana,113014,4739,Day Scholar,0,4095,Naksh,Upasna,RBL Bank,Hyderabad,604
Saanvi Chowdhury,1999-04-06,India,Telangana,Sikh,General,649853,Delhi Public School,80,12th,83.0,,,Arts,University of Hyderabad,Telangana,152607,5377,Hosteller,28350,0,Upkaar,Amaira,Axis Bank,Hyderabad,808
sri Shetty,1999-08-06,India,Telangana,Sikh,SC,417745,Sri Chaitanya,74,Graduation,,,56.0,Engineering,Osmania University,Telangana,144038,2850,Hosteller,35948,0,Hemang,Amrita,HDFC Bank,Hyderabad,626
sri Dhingra,2002-02-06,India,Telangana,Muslim,SC,817902,Oakridge International School,64,Diploma,,77.0,,Medical,ICFAI Business School,Telangana,272537,3835,Day Scholar,0,7339,Simon,Hemangini,State Bank of India,Hyderabad,743
Isha Minhas,2002-03-23,India,Telangana,Sikh,ST,261805,Narayana,73,Diploma,,55.0,,Law,ICFAI Business School,Telangana,193482,8584,Day Scholar,0,7564,Hardik,Anamika,Kotak Mahindra Bank,Hyderabad,718
Vivaan Ramakrishnan,2002-12-02,India,Telangana,Hindu,SC,1152075,Sri Chaitanya,86,12th,64.0,,,Engineering,University of Hyderabad,Telangana,261355,9601,Hosteller,20132,0,Sai,Lavanya,IDFC FIRST Bank,Hyderabad,819
Aanya Mittal,2005-03-29,India,Telangana,Sikh,OBC,876861,Narayana,67,Graduation,,,65.0,Vocational Training,Jawaharlal Nehru Technological University,Telangana,242081,9334,Hosteller,34283,0,Lucky,Lipika,HDFC Bank,Hyderabad,655
Meera Prabhu,2001-06-11,India,Telangana,Sikh,SC,255905,Bhavans,86,Graduation,,,75.0,Medical,mrecw,Telangana,197585,9019,Day Scholar,0,7457,Faras,Janya,Punjab National Bank,Hyderabad,657
Reyansh Sagar,2004-07-22,India,Telangana,Hindu,SC,912624,Delhi Public School,86,12th,76.0,,,Arts,ICFAI Business School,Telangana,170644,3965,Day Scholar,0,9899,Veer,Vedhika,Bank of India,Hyderabad,759
Aarav Uppal,2005-06-03,India,Telangana,Other,Other,382278,Delhi Public School,80,Graduation,,,50.0,MBA,ICFAI Business School,Telangana,137197,4403,Hosteller,47124,0,Reyansh,Jagvi,Federal Bank,Hyderabad,640
Nisha Choudhry,2002-06-12,India,Telangana,Muslim,ST,77725,Hyderabad Public School,83,Diploma,,87.0,,Law,BITS Pilani Hyderabad,Telangana,108597,8513,Hosteller,30046,0,Henry,Dayamai,Bank of Baroda,Hyderabad,693
Sanya Jani,2006-09-28,India,Telangana,Hindu,ST,753557,Oakridge International School,78,12th,65.0,,,Vocational Training,ICFAI Business School,Telangana,235438,4409,Day Scholar,0,3141,Chaitanya,Jhalak,Punjab National Bank,Hyderabad,645
Sanya Sha,1999-03-13,India,Telangana,Christian,ST,1190557,Hyderabad Public School,93,Graduation,,,50.0,Law,Osmania University,Telangana,131317,2983,Hosteller,20163,0,Dhruv,Sanya,State Bank of India,Hyderabad,694
Aaditya Minhas,2002-05-24,India,Telangana,Other,General,874151,Hyderabad Public School,85,12th,69.0,,,Engineering,Jawaharlal Nehru Technological University,Telangana,141052,4424,Hosteller,29077,0,Reyansh,Waida,IDFC FIRST Bank,Hyderabad,808
Isha Doctor,2003-03-01,India,Telangana,Christian,OBC,691222,Oakridge International School,92,12th,69.0,,,Law,BITS Pilani Hyderabad,Telangana,264007,5315,Hosteller,37465,0,Chakradhar,Jalsa,Kotak Mahindra Bank,Hyderabad,738
Sanya Chaudhari,2002-03-30,India,Telangana,Other,SC,844814,Bhavans,65,Graduation,,,59.0,MBA,ICFAI Business School,Telangana,243634,3426,Day Scholar,0,6860,Mohammed,Aarini,Kotak Mahindra Bank,Hyderabad,661
Vihaan Narula,2002-09-14,India,Telangana,Sikh,Other,349702,Sri Chaitanya,65,Graduation,,,89.0,Arts,University of Hyderabad,Telangana,135654,6274,Day Scholar,0,5337,Rohan,Eesha,Axis Bank,Hyderabad,733
Aarav Sant,2004-01-30,India,Telangana,Other,General,494713,Narayana,67,Graduation,,,56.0,Engineering,BITS Pilani Hyderabad,Telangana,152529,5553,Day Scholar,0,6268,Joshua,Keya,RBL Bank,Hyderabad,841
Aarav Suri,2003-12-07,India,Telangana,Christian,General,930229,Hyderabad Public School,82,12th,94.0,,,Engineering,ICFAI Business School,Telangana,123354,3529,Day Scholar,0,9860,Darsh,Anusha,Canara Bank,Hyderabad,713
Aarav Borah,2006-12-21,India,Telangana,Christian,OBC,926355,Narayana,83,12th,63.0,,,Arts,Osmania University,Telangana,113932,4271,Day Scholar,0,2139,Faqid,Vasana,Kotak Mahindra Bank,Hyderabad,809
Priya Majumdar,1999-11-07,India,Telangana,Muslim,ST,761299,Narayana,63,12th,82.0,,,Engineering,Jawaharlal Nehru Technological University,Telangana,196267,7183,Hosteller,14672,0,Finn,Meera,Union Bank of India,Hyderabad,617
Riya Bala,2001-10-18,India,Telangana,Other,SC,83820,Sri Chaitanya,68,12th,79.0,,,Medical,Osmania University,Telangana,236220,1700,Day Scholar,0,5659,Girindra,Lekha,Punjab National Bank,Hyderabad,611
Kian Johal,2003-11-30,India,Telangana,Other,General,310440,Narayana,78,Diploma,,66.0,,MBA,Jawaharlal Nehru Technological University,Telangana,148793,2122,Hosteller,14514,0,Hitesh,Zarna,ICICI Bank,Hyderabad,793
Riya Mander,2003-12-26,India,Telangana,Sikh,General,631797,Oakridge International School,85,Graduation,,,71.0,Vocational Training,ICFAI Business School,Telangana,186522,6201,Day Scholar,0,9578,Parth,Zansi,Bajaj Finserv,Hyderabad,759
Reyansh More,2001-05-13,India,Telangana,Hindu,ST,870579,Sri Chaitanya,70,Diploma,,65.0,,Vocational Training,Osmania University,Telangana,261861,7766,Hosteller,42772,0,Jai,Avni,State Bank of India,Hyderabad,803
Aditya Mahal,2001-02-07,India,Telangana,Christian,SC,520004,Narayana,75,12th,95.0,,,Engineering,Osmania University,Telangana,274929,3981,Day Scholar,0,9211,Rachit,Bimala,Punjab National Bank,Hyderabad,725
Ananya Bala,2005-05-07,India,Telangana,Other,General,353843,Bhavans,73,Graduation,,,84.0,Arts,BITS Pilani Hyderabad,Telangana,261830,3857,Hosteller,32163,0,Saksham,Unni,Bajaj Finserv,Hyderabad,767
Riya Nagar,2005-04-09,India,Telangana,Christian,SC,200447,Narayana,90,12th,83.0,,,PhD,Jawaharlal Nehru Technological University,Telangana,265413,9375,Day Scholar,0,7475,Vincent,Hemani,Axis Bank,Hyderabad,629
Ishaan Mohan,2002-08-21,India,Telangana,Christian,OBC,518581,Oakridge International School,70,Graduation,,,59.0,PhD,Jawaharlal Nehru Technological University,Telangana,96567,7216,Hosteller,17257,0,Nakul,Nisha,Canara Bank,Hyderabad,787
Aaditya De,2002-01-06,India,Telangana,Muslim,General,1129153,Bhavans,69,Graduation,,,87.0,Engineering,mrecw,Telangana,58325,9445,Day Scholar,0,6416,Yash,Harinakshi,Bank of India,Hyderabad,701
Aarav Sant,2001-09-14,India,Telangana,Sikh,Other,362284,Sri Chaitanya,89,Graduation,,,73.0,Vocational Training,ICFAI Business School,Telangana,234080,3758,Day Scholar,0,3255,Matthew,Adweta,Federal Bank,Hyderabad,810
Ishaan Nath,2000-02-18,India,Telangana,Other,SC,597698,Delhi Public School,64,Diploma,,63.0,,Medical,ICFAI Business School,Telangana,255420,3457,Day Scholar,0,8214,Qasim,Mugdha,Bank of Baroda,Hyderabad,770
Rupa Brar,2002-12-09,India,Telangana,Christian,SC,319381,Hyderabad Public School,89,Graduation,,,70.0,PhD,Osmania University,Telangana,296002,4433,Hosteller,27785,0,Omkaar,Ria,Axis Bank,Hyderabad,671
Sanya Seth,2006-07-08,India,Telangana,Christian,SC,912641,Sri Chaitanya,81,Diploma,,61.0,,MBA,BITS Pilani Hyderabad,Telangana,90720,9126,Hosteller,13711,0,Frederick,Riya,HDFC Bank,Hyderabad,849
Arjun Grover,2005-09-14,India,Telangana,Hindu,ST,913064,Delhi Public School,65,Diploma,,72.0,,PhD,mrecw,Telangana,61192,8532,Hosteller,29070,0,Jeremiah,Inaya,RBL Bank,Hyderabad,704
Aanya Arora,2000-07-12,India,Telangana,Hindu,OBC,579575,Sri Chaitanya,69,12th,69.0,,,Arts,mrecw,Telangana,98916,2193,Day Scholar,0,5347,Kalpit,Lipika,Bank of India,Hyderabad,669
Riya Oza,2002-02-10,India,Telangana,Sikh,SC,273027,Oakridge International School,72,12th,85.0,,,Vocational Training,ICFAI Business School,Telangana,85334,6908,Hosteller,16714,0,Qasim,Devika,Canara Bank,Hyderabad,839
Raj Pillay,2000-12-15,India,Telangana,Sikh,OBC,1153517,Bhavans,67,12th,71.0,,,MBA,ICFAI Business School,Telangana,272137,8207,Hosteller,35683,0,Avi,Jagvi,Punjab National Bank,Hyderabad,667
Saanvi Sankar,2002-07-05,India,Telangana,Hindu,Other,260022,Oakridge International School,87,Graduation,,,74.0,MBA,University of Hyderabad,Telangana,192061,7995,Hosteller,39208,0,Ishaan,Eesha,Punjab National Bank,Hyderabad,715
Reyansh Menon,1999-04-23,India,Telangana,Other,Other,746493,Sri Chaitanya,79,12th,61.0,,,Arts,mrecw,Telangana,227076,1884,Day Scholar,0,7955,Aarnav,Januja,Axis Bank,Hyderabad,638
Saanvi Khalsa,2002-02-18,India,Telangana,Christian,OBC,304296,Sri Chaitanya,70,12th,72.0,,,Engineering,BITS Pilani Hyderabad,Telangana,128061,3168,Hosteller,27200,0,Henry,Nandini,Federal Bank,Hyderabad,848
Aanya Krishnan,1999-04-11,India,Telangana,Sikh,SC,844751,Bhavans,67,12th,95.0,,,Arts,University of Hyderabad,Telangana,105529,6605,Day Scholar,0,7135,Champak,Charita,Punjab National Bank,Hyderabad,749
Ananya Grover,2003-10-22,India,Telangana,Muslim,General,830712,Hyderabad Public School,76,Graduation,,,56.0,Arts,University of Hyderabad,Telangana,127352,9239,Hosteller,20376,0,Zayyan,Vasana,State Bank of India,Hyderabad,815
Saanvi Venkataraman,2000-12-08,India,Telangana,Muslim,Other,69039,Narayana,77,Graduation,,,75.0,MBA,ICFAI Business School,Telangana,258136,8008,Day Scholar,0,5463,Benjamin,Aradhana,Kotak Mahindra Bank,Hyderabad,703
Riya Garg,2000-10-17,India,Telangana,Sikh,General,221974,Sri Chaitanya,93,Diploma,,74.0,,Engineering,Jawaharlal Nehru Technological University,Telangana,231826,7494,Hosteller,17630,0,Manan,Damyanti,Punjab National Bank,Hyderabad,660
Aanya Dhawan,2000-08-23,India,Telangana,Hindu,Other,739278,Narayana,92,12th,88.0,,,Law,Osmania University,Telangana,60297,9334,Hosteller,45648,0,Peter,Charvi,Kotak Mahindra Bank,Hyderabad,602
Sanya Mand,2004-02-22,India,Telangana,Sikh,OBC,233747,Bhavans,92,12th,63.0,,,PhD,mrecw,Telangana,171322,7129,Day Scholar,0,2240,Isaiah,Janani,Punjab National Bank,Hyderabad,826
Aditya Mane,2002-10-25,India,Telangana,Christian,Other,503697,Narayana,75,12th,66.0,,,Medical,mrecw,Telangana,114990,1642,Hosteller,36883,0,Kiaan,Yashodhara,Axis Bank,Hyderabad,695
Raj Bhat,2003-12-01,India,Telangana,Muslim,SC,557382,Narayana,77,Graduation,,,52.0,Vocational Training,University of Hyderabad,Telangana,257344,9965,Day Scholar,0,2009,Orinder,Vasatika,ICICI Bank,Hyderabad,667
Aaditya Tripathi,2001-06-07,India,Telangana,Sikh,Other,831317,Sri Chaitanya,76,12th,69.0,,,Medical,University of Hyderabad,Telangana,288085,9247,Day Scholar,0,5000,Fitan,Kashvi,Bank of India,Hyderabad,766
Ayaan Murthy,2000-11-04,India,Telangana,Sikh,Other,885245,Oakridge International School,61,Graduation,,,63.0,Arts,mrecw,Telangana,142270,7448,Day Scholar,0,3772,Rishi,Ridhi,Canara Bank,Hyderabad,812
Saanvi Prashad,2001-07-05,India,Telangana,Christian,Other,747356,Delhi Public School,66,12th,78.0,,,MBA,Jawaharlal Nehru Technological University,Telangana,194399,9465,Day Scholar,0,6266,Azaan,Yahvi,State Bank of India,Hyderabad,849
Saanvi Uppal,2001-03-28,India,Telangana,Christian,General,882382,Oakridge International School,64,Graduation,,,64.0,Engineering,University of Hyderabad,Telangana,82749,9502,Hosteller,17356,0,Lohit,Chandani,Federal Bank,Hyderabad,619
Kian Ramachandran,1999-08-13,India,Telangana,Hindu,SC,418444,Hyderabad Public School,65,Diploma,,62.0,,Engineering,Osmania University,Telangana,65163,8364,Hosteller,43700,0,Farhan,Tara,Bank of India,Hyderabad,683
Aarav Samra,2001-08-18,India,Telangana,Muslim,ST,432553,Hyderabad Public School,91,Diploma,,89.0,,MBA,Osmania University,Telangana,235896,8484,Day Scholar,0,4057,Banjeet,Vamakshi,Federal Bank,Hyderabad,731
sri Mander,2003-11-11,India,Telangana,Sikh,Other,380098,Narayana,85,12th,65.0,,,Arts,ICFAI Business School,Telangana,196526,2930,Day Scholar,0,4103,Kevin,Warda,IDFC FIRST Bank,Hyderabad,847
Aaditya Vasa,2000-02-06,India,Telangana,Muslim,Other,696861,Narayana,88,12th,78.0,,,Medical,BITS Pilani Hyderabad,Telangana,56223,5718,Day Scholar,0,7746,Avi,Mahika,Union Bank of India,Hyderabad,807
Shreya Nayak,1999-10-27,India,Telangana,Muslim,General,648600,Bhavans,88,Diploma,,67.0,,Law,BITS Pilani Hyderabad,Telangana,58721,6684,Hosteller,40351,0,Christopher,Isha,HDFC Bank,Hyderabad,722
Isha Lala,2004-07-09,India,Telangana,Other,OBC,505921,Bhavans,92,Graduation,,,56.0,Engineering,Osmania University,Telangana,201553,3484,Day Scholar,0,7680,Abhimanyu,Mitali,State Bank of India,Hyderabad,708
Aaditya Kapur,2004-09-27,India,Telangana,Christian,OBC,330244,Bhavans,91,Diploma,,70.0,,Vocational Training,Osmania University,Telangana,63772,6450,Hosteller,11929,0,Ayushman,Saumya,Punjab National Bank,Hyderabad,778
Vihaan Chacko,2001-11-13,India,Telangana,Other,Other,590713,Delhi Public School,84,Graduation,,,63.0,MBA,Jawaharlal Nehru Technological University,Telangana,126899,9601,Day Scholar,0,8486,Theodore,Yasti,Punjab National Bank,Hyderabad,624
Ishaan Rai,2005-01-04,India,Telangana,Other,ST,222519,Oakridge International School,62,Diploma,,79.0,,Arts,Osmania University,Telangana,198431,6626,Hosteller,30770,0,Kai,Arunima,Canara Bank,Hyderabad,827
Saanvi Patla,2003-03-17,India,Telangana,Other,Other,950404,Hyderabad Public School,91,Graduation,,,85.0,Law,Osmania University,Telangana,126041,4298,Day Scholar,0,8785,Sathvik,Ishanvi,HDFC Bank,Hyderabad,615
Aditya Grewal,2001-08-10,India,Telangana,Sikh,SC,910106,Delhi Public School,76,12th,68.0,,,Arts,Osmania University,Telangana,102511,8845,Hosteller,10951,0,Tejas,Ishani,Punjab National Bank,Hyderabad,705
Ananya Rana,2005-01-28,India,Telangana,Christian,ST,512066,Narayana,82,Diploma,,54.0,,MBA,BITS Pilani Hyderabad,Telangana,253552,7605,Hosteller,22613,0,Nitesh,Kavya,Union Bank of India,Hyderabad,843
Riya Amble,2003-05-18,India,Telangana,Other,SC,659290,Sri Chaitanya,74,Graduation,,,71.0,Medical,BITS Pilani Hyderabad,Telangana,224006,1340,Day Scholar,0,7321,Omkaar,Neha,Bank of India,Hyderabad,650
Vivaan Saini,2004-02-12,India,Telangana,Christian,SC,343781,Hyderabad Public School,90,12th,81.0,,,Medical,mrecw,Telangana,153697,8104,Hosteller,42700,0,Chatresh,Vinaya,State Bank of India,Hyderabad,606
Kian Narayan,2000-10-14,India,Telangana,Christian,SC,796338,Narayana,91,12th,89.0,,,PhD,ICFAI Business School,Telangana,96812,2931,Hosteller,21110,0,Ronith,Tara,RBL Bank,Hyderabad,784
Riya Prabhakar,2006-09-05,India,Telangana,Sikh,ST,199490,Hyderabad Public School,86,Diploma,,78.0,,Vocational Training,Osmania University,Telangana,170714,7171,Hosteller,33168,0,Dev,Lajita,Union Bank of India,Hyderabad,790
sri Thakur,2000-01-28,India,Telangana,Hindu,ST,938658,Hyderabad Public School,95,12th,91.0,,,Arts,mrecw,Telangana,242631,2507,Day Scholar,0,5850,Viraj,Sachi,HDFC Bank,Hyderabad,845
Nisha Suresh,2003-06-07,India,Telangana,Other,SC,699770,Bhavans,66,Graduation,,,85.0,Engineering,Jawaharlal Nehru Technological University,Telangana,143533,7419,Day Scholar,0,2142,Baljiwan,Nidra,State Bank of India,Hyderabad,647
Aaditya Setty,2005-04-10,India,Telangana,Hindu,General,302482,Narayana,90,Diploma,,53.0,,Arts,University of Hyderabad,Telangana,110963,1589,Day Scholar,0,3508,Ekapad,Oni,Federal Bank,Hyderabad,665
sri Chandran,2006-10-12,India,Telangana,Other,Other,113943,Oakridge International School,87,Graduation,,,66.0,MBA,mrecw,Telangana,139998,6948,Hosteller,35215,0,Neel,Priya,HDFC Bank,Hyderabad,803
Aanya Chawla,2000-09-21,India,Telangana,Sikh,General,476374,Hyderabad Public School,91,12th,89.0,,,MBA,mrecw,Telangana,181650,6089,Day Scholar,0,7850,Ekansh,Siya,HDFC Bank,Hyderabad,822
Shreya Prashad,2003-07-10,India,Telangana,Other,OBC,763880,Sri Chaitanya,60,Graduation,,,86.0,Law,ICFAI Business School,Telangana,146668,1913,Hosteller,12095,0,Samesh,Gaurika,Axis Bank,Hyderabad,606
Isha Parsa,2004-11-20,India,Telangana,Muslim,Other,841368,Hyderabad Public School,73,12th,73.0,,,Engineering,University of Hyderabad,Telangana,248887,2980,Hosteller,49976,0,Maanav,Udyati,Axis Bank,Hyderabad,810
Vihaan Aurora,2002-12-30,India,Telangana,Muslim,General,502163,Narayana,70,Diploma,,59.0,,Medical,ICFAI Business School,Telangana,209765,3009,Hosteller,31909,0,Mohammed,Garima,Bajaj Finserv,Hyderabad,614
Aarav Dhar,1999-04-26,India,Telangana,Other,SC,1199731,Bhavans,69,Diploma,,73.0,,Law,BITS Pilani Hyderabad,Telangana,293962,9211,Day Scholar,0,6264,Zayyan,Rajeshri,IDFC FIRST Bank,Hyderabad,777
Aanya Nair,2004-09-08,India,Telangana,Sikh,ST,912254,Sri Chaitanya,72,Graduation,,,84.0,Arts,University of Hyderabad,Telangana,193061,7969,Day Scholar,0,3023,Caleb,Gaurika,HDFC Bank,Hyderabad,834
Aditya Sahni,1999-04-03,India,Telangana,Hindu,Other,778691,Oakridge International School,95,Graduation,,,54.0,Law,Jawaharlal Nehru Technological University,Telangana,211536,6893,Day Scholar,0,7246,Qarin,Hemani,Kotak Mahindra Bank,Hyderabad,642
Ayaan Zachariah,2006-04-14,India,Telangana,Christian,ST,1182434,Delhi Public School,68,Graduation,,,51.0,Vocational Training,ICFAI Business School,Telangana,245675,3488,Hosteller,17900,0,Harshil,Hemangini,Axis Bank,Hyderabad,702
Rupa Sarma,2006-02-28,India,Telangana,Sikh,SC,555973,Narayana,87,Diploma,,66.0,,PhD,ICFAI Business School,Telangana,127544,7380,Day Scholar,0,3048,Jacob,Eta,Bajaj Finserv,Hyderabad,825
Aanya Bhardwaj,2006-03-27,India,Telangana,Sikh,Other,137062,Narayana,69,12th,60.0,,,Law,Jawaharlal Nehru Technological University,Telangana,189739,2611,Hosteller,13883,0,Ranveer,Ridhi,HDFC Bank,Hyderabad,722
Saanvi Sethi,1999-12-17,India,Telangana,Hindu,General,579745,Delhi Public School,76,Graduation,,,81.0,Arts,Jawaharlal Nehru Technological University,Telangana,144977,5048,Hosteller,28981,0,Ekapad,Vamakshi,ICICI Bank,Hyderabad,622
Aarav More,2001-01-21,India,Telangana,Christian,ST,297027,Oakridge International School,90,Graduation,,,87.0,MBA,Osmania University,Telangana,81685,2129,Day Scholar,0,7321,Darpan,Upadhriti,Federal Bank,Hyderabad,659
Meera Mandal,2004-03-13,India,Telangana,Muslim,SC,394531,Narayana,74,12th,95.0,,,Engineering,Jawaharlal Nehru Technological University,Telangana,291437,7445,Day Scholar,0,2483,Akshay,Pooja,HDFC Bank,Hyderabad,745
Aanya Mangal,2004-10-14,India,Telangana,Muslim,OBC,840633,Oakridge International School,65,Graduation,,,56.0,PhD,ICFAI Business School,Telangana,66698,1644,Hosteller,40087,0,Zayan,Yashoda,State Bank of India,Hyderabad,746
Isha Narasimhan,2005-07-22,India,Telangana,Hindu,General,964027,Delhi Public School,72,Graduation,,,82.0,Vocational Training,mrecw,Telangana,294070,2178,Hosteller,16591,0,Faris,Brinda,Bajaj Finserv,Hyderabad,704
Aaditya Vohra,2004-08-26,India,Telangana,Muslim,General,730002,Narayana,89,12th,73.0,,,Engineering,ICFAI Business School,Telangana,209895,7164,Day Scholar,0,6021,Alexander,Zarna,Bank of India,Hyderabad,605
Ishaan Das,2006-04-20,India,Telangana,Muslim,SC,480445,Sri Chaitanya,94,Diploma,,70.0,,Arts,mrecw,Telangana,63134,3650,Day Scholar,0,4010,Balveer,Amrita,State Bank of India,Hyderabad,716
Aarav Hayre,2002-11-29,India,Telangana,Muslim,ST,355627,Narayana,67,Graduation,,,90.0,Medical,University of Hyderabad,Telangana,96389,7339,Hosteller,12720,0,Gabriel,Eta,Canara Bank,Hyderabad,657
Aarav Bajaj,2006-12-03,India,Telangana,Hindu,Other,169923,Bhavans,62,Graduation,,,87.0,Law,ICFAI Business School,Telangana,248751,8332,Hosteller,47044,0,Aarav,Jagrati,Punjab National Bank,Hyderabad,782
Vihaan Balay,2005-01-05,India,Telangana,Other,ST,737390,Bhavans,60,Graduation,,,58.0,PhD,BITS Pilani Hyderabad,Telangana,94781,1479,Hosteller,28168,0,Baljiwan,Lekha,State Bank of India,Hyderabad,678
Meera Sura,2001-12-31,India,Telangana,Hindu,OBC,864338,Hyderabad Public School,71,12th,60.0,,,PhD,BITS Pilani Hyderabad,Telangana,59402,4043,Hosteller,16660,0,Ansh,Bina,Axis Bank,Hyderabad,821
Ishaan Chaudhry,1999-03-18,India,Telangana,Sikh,OBC,740158,Delhi Public School,78,12th,84.0,,,Vocational Training,mrecw,Telangana,79093,3066,Hosteller,37200,0,Omkaar,Jalsa,IDFC FIRST Bank,Hyderabad,715
Aanya Sama,2000-06-02,India,Telangana,Hindu,Other,893799,Oakridge International School,66,Diploma,,63.0,,Engineering,mrecw,Telangana,256827,3907,Day Scholar,0,8739,Girish,Omisha,Kotak Mahindra Bank,Hyderabad,687
sri Sawhney,2003-06-13,India,Telangana,Muslim,General,1068244,Hyderabad Public School,88,Diploma,,89.0,,Arts,University of Hyderabad,Telangana,164852,2521,Hosteller,34752,0,Frado,Chaaya,Canara Bank,Hyderabad,805
Shreya Chadha,2003-05-12,India,Telangana,Other,Other,298523,Delhi Public School,66,Graduation,,,85.0,Engineering,Jawaharlal Nehru Technological University,Telangana,230543,5016,Hosteller,13467,0,Yuvraj,Aachal,Bank of Baroda,Hyderabad,815
Ananya Venkatesh,1999-07-08,India,Telangana,Christian,SC,895635,Delhi Public School,68,Graduation,,,73.0,Medical,mrecw,Telangana,255827,2597,Hosteller,35704,0,Thomas,Oviya,RBL Bank,Hyderabad,639
Saanvi Tara,1999-11-04,India,Telangana,Other,SC,247056,Sri Chaitanya,60,Graduation,,,62.0,Law,mrecw,Telangana,194765,2036,Hosteller,46521,0,Hredhaan,Ekanta,Bank of Baroda,Hyderabad,652
Ishaan Ranganathan,2004-05-26,India,Telangana,Muslim,OBC,547796,Oakridge International School,74,Graduation,,,77.0,Law,mrecw,Telangana,82383,9785,Hosteller,11409,0,Nachiket,Jhalak,Federal Bank,Hyderabad,657
Raj Sekhon,2006-02-13,India,Telangana,Muslim,Other,565278,Bhavans,85,12th,71.0,,,Vocational Training,ICFAI Business School,Telangana,170064,9866,Day Scholar,0,2862,Charles,Mekhala,Bajaj Finserv,Hyderabad,623
Aarav Chada,2004-12-07,India,Telangana,Muslim,Other,316180,Narayana,71,Graduation,,,78.0,Engineering,University of Hyderabad,Telangana,249440,1234,Day Scholar,0,2262,Girindra,Edhitha,Axis Bank,Hyderabad,802
Aaditya Khanna,1999-09-24,India,Telangana,Sikh,General,860592,Sri Chaitanya,80,12th,66.0,,,Vocational Training,ICFAI Business School,Telangana,88822,1160,Day Scholar,0,7820,Pranit,Omya,Axis Bank,Hyderabad,620
Aarav Rai,2005-12-19,India,Telangana,Muslim,General,795295,Hyderabad Public School,67,Diploma,,75.0,,Medical,ICFAI Business School,Telangana,247381,8894,Day Scholar,0,5743,Devansh,Neha,HDFC Bank,Hyderabad,747
Aditya Swaminathan,2005-06-14,India,Telangana,Muslim,OBC,583744,Oakridge International School,68,Diploma,,73.0,,Arts,mrecw,Telangana,210210,2336,Day Scholar,0,9477,Krish,Saanvi,Bajaj Finserv,Hyderabad,846
sri Vig,2005-07-30,India,Telangana,Hindu,Other,695296,Sri Chaitanya,80,Graduation,,,84.0,Medical,University of Hyderabad,Telangana,257431,7745,Hosteller,18111,0,Jack,Omya,IDFC FIRST Bank,Hyderabad,698
Isha Sachar,2001-04-28,India,Telangana,Sikh,General,409855,Delhi Public School,75,Graduation,,,80.0,Law,BITS Pilani Hyderabad,Telangana,216842,5870,Day Scholar,0,2420,Abdul,Unni,Punjab National Bank,Hyderabad,799
Shreya Varughese,2000-05-23,India,Telangana,Sikh,ST,488602,Oakridge International School,74,Graduation,,,60.0,MBA,ICFAI Business School,Telangana,273737,1579,Day Scholar,0,7587,Jackson,Raksha,State Bank of India,Hyderabad,845
Riya Dutt,1999-09-04,India,Telangana,Sikh,ST,258920,Hyderabad Public School,60,12th,69.0,,,Vocational Training,Jawaharlal Nehru Technological University,Telangana,67451,7093,Hosteller,23738,0,David,Vamakshi,Federal Bank,Hyderabad,740
sri Shetty,2004-06-12,India,Telangana,Muslim,ST,807066,Bhavans,71,Graduation,,,50.0,Law,Osmania University,Telangana,193069,8283,Hosteller,20183,0,Qasim,Turvi,Bajaj Finserv,Hyderabad,686
Raj Dhar,2001-06-24,India,Telangana,Hindu,SC,296531,Delhi Public School,88,Graduation,,,78.0,Arts,mrecw,Telangana,204728,2345,Day Scholar,0,3923,Dev,Aarna,RBL Bank,Hyderabad,812
Riya Sharaf,2000-10-12,India,Telangana,Hindu,Other,929618,Oakridge International School,61,12th,68.0,,,Vocational Training,University of Hyderabad,Telangana,193658,2842,Day Scholar,0,8985,Hemang,Divya,Canara Bank,Hyderabad,732
Priya Khalsa,2003-07-22,India,Telangana,Sikh,General,712567,Oakridge International School,71,Graduation,,,70.0,Medical,Jawaharlal Nehru Technological University,Telangana,118112,9291,Hosteller,42569,0,Yug,Eshana,Axis Bank,Hyderabad,602
Shreya Gara,2002-06-24,India,Telangana,Other,Other,460917,Hyderabad Public School,64,12th,84.0,,,MBA,University of Hyderabad,Telangana,83386,3096,Day Scholar,0,7874,Vivaan,Rachana,RBL Bank,Hyderabad,704
Meera Rajagopalan,2007-02-25,India,Telangana,Muslim,General,1007596,Hyderabad Public School,66,Diploma,,58.0,,MBA,BITS Pilani Hyderabad,Telangana,239825,7129,Day Scholar,0,7540,Mason,Ria,Kotak Mahindra Bank,Hyderabad,671
